Date,Year,Month,Day,Waktu,Dari,Arah,Kondisi,Tweet,Hambatan,link,photos
2022-Sep-28,2022,September,Wednesday,06:53:41,UIN,Timur,ramai lancar,06.53 wib arus lalin sp uin arah timur ramai arah barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574910178910416897,"['https://pbs.twimg.com/media/Fds0YSKaIAA3lfK.jpg', 'https://pbs.twimg.com/media/Fds0Y4jaMAANTEh.jpg']"
2022-Sep-28,2022,September,Wednesday,06:52:57,Bandara,Timur,ramai lancar,06.52 wib arus lalin sp bandara arah timur terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574909995178950657,['https://pbs.twimg.com/media/Fds0Ol6aEAAYAEg.jpg']
2022-Sep-27,2022,September,Tuesday,18:46:18,Demangan,"Timur, Utara",ramai lancar,18.46 wib lalin sp demangan arah timur dan utara ramai lancar arah selatan terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574727125248409600,"['https://pbs.twimg.com/media/FdqN4pTacAE5jsm.jpg', 'https://pbs.twimg.com/media/FdqN4pVaIAAYwUf.jpg', 'https://pbs.twimg.com/media/FdqN5XMagAMar6J.jpg']"
2022-Sep-27,2022,September,Tuesday,18:45:47,UIN,"Timur, Barat",ramai lancar,18.45 wib kondisi lalin sp uin arah timur dan barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574726996638453760,"['https://pbs.twimg.com/media/FdqNi3haIAA79rj.jpg', 'https://pbs.twimg.com/media/FdqNpRqacAAbEhQ.jpg']"
2022-Sep-27,2022,September,Tuesday,18:44:07,Maguwoharjo,Barat,ramai lancar,18.44 wib lalin sp maguwo arah barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574726578122412034,['https://pbs.twimg.com/media/FdqNaTzaMAI6roI.jpg']
2022-Sep-27,2022,September,Tuesday,18:43:44,Bandara,Timur,lancar,18.43 wib lalin sp bandara arah timur terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574726481213001733,['https://pbs.twimg.com/media/FdqNVG_agAAOhr7.jpg']
2022-Sep-27,2022,September,Tuesday,18:43:03,Gramedia,"Timur, Barat",ramai lancar,18.42 wib lalin sp gramedia arah timur dan barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574726309313675264,"['https://pbs.twimg.com/media/FdqNIq3akAAjOuq.jpg', 'https://pbs.twimg.com/media/FdqNKxvaMAAhbMk.jpg']"
2022-Sep-27,2022,September,Tuesday,06:53:43,"MM UGM, Utara",,lancar,"06.53WIB Kondisi Lalin simpang MMUGM terpantau ramai dari kaki utara, dari arah lainnya terpantau lancar  ",-,https://twitter.com/ATCS_DISHUB_DIY/status/1574547799043346432,"['https://pbs.twimg.com/media/FdnqvroagAEn2yP.jpg', 'https://pbs.twimg.com/media/FdnqwXBaEAAOLGg.jpg', 'https://pbs.twimg.com/media/FdnqwXmaMAAyw15.jpg', 'https://pbs.twimg.com/media/FdnqwYUaIAAd3eo.jpg']"
2022-Sep-27,2022,September,Tuesday,06:53:01,Demangan Timur,-,padat,06.52WIB Kondisi Lalin simpang Demangan terpantau padat dari kaki timur  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574547620714139648,"['https://pbs.twimg.com/media/FdnqpQhaIAIxl_D.jpg', 'https://pbs.twimg.com/media/FdnqpRXacAAMp0M.jpg', 'https://pbs.twimg.com/media/FdnqpSVakAAtFcS.jpg']"
2022-Sep-27,2022,September,Tuesday,06:52:33,Galeria Timur Selatan,-,lancar,"06.52WIB Kondisi Lalin simpang Galeria terpantau ramai dari kaki timur, dari kaki selatan terpantau lancar  ",-,https://twitter.com/ATCS_DISHUB_DIY/status/1574547503751786496,"['https://pbs.twimg.com/media/FdnqexIagAMewFp.jpg', 'https://pbs.twimg.com/media/FdnqfYmaIAEh38j.jpg']"
2022-Sep-26,2022,September,Monday,18:23:32,Condongcatur,-,padat,18.23WIB Kondisi Lalin simpang Condongcatur terpantau padat  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574359010312331264,"['https://pbs.twimg.com/media/Fdk_CUragAIEmvn.jpg', 'https://pbs.twimg.com/media/Fdk_EMYaMAEzVNu.jpg', 'https://pbs.twimg.com/media/Fdk_EM-akAE5olq.jpg']"
2022-Sep-26,2022,September,Monday,18:22:48,Seturan,-,ramai lancar,18.22WIB Kondisi Lalin simpang Seturan ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574358823850356738,"['https://pbs.twimg.com/media/Fdk-8XwakAACxdM.jpg', 'https://pbs.twimg.com/media/Fdk-8XuacAAOAWI.jpg', 'https://pbs.twimg.com/media/Fdk-8X1aMAI1NxR.jpg', 'https://pbs.twimg.com/media/Fdk-8Y4aAAAqaws.jpg']"
2022-Sep-26,2022,September,Monday,18:08:51,Gramedia,-,lancar,18.08WIB Kondisi Lalin simpang Gramedia terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574355311997353985,"['https://pbs.twimg.com/media/Fdk7wbQaEAADJU6.jpg', 'https://pbs.twimg.com/media/Fdk7wc9aMAIVHWJ.jpg', 'https://pbs.twimg.com/media/Fdk7wd7aAAA3Wfb.jpg', 'https://pbs.twimg.com/media/Fdk7wekaUAAKAw1.jpg']"
2022-Sep-26,2022,September,Monday,14:40:27,Pogung,-,lancar,14.40WIB Kondisi Lalin simpang Pogung terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574302868898971649,"['https://pbs.twimg.com/media/FdkMDR6aMAEXz4U.jpg', 'https://pbs.twimg.com/media/FdkMDSyaMAASfKy.jpg', 'https://pbs.twimg.com/media/FdkMDThaUAAhuqc.jpg', 'https://pbs.twimg.com/media/FdkMDUDaUAAtGoF.jpg']"
2022-Sep-26,2022,September,Monday,14:39:53,MM UGM,-,lancar,14.39WIB Kondisi lalin simpang MMUGM terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574302723805450240,"['https://pbs.twimg.com/media/FdkL095aMAA6E-J.jpg', 'https://pbs.twimg.com/media/FdkL0-GaMAAoob8.jpg', 'https://pbs.twimg.com/media/FdkL0-KaIAELhxK.jpg', 'https://pbs.twimg.com/media/FdkL2ACacAIck8G.jpg']"
2022-Sep-26,2022,September,Monday,14:26:25,Tugu,-,lancar,14.25 WIB. Kondisi terkini Lalu lintas di simpang Tugu terpantau lancar.  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574299335864745984,"['https://pbs.twimg.com/media/FdkI5nMakAAQyNt.jpg', 'https://pbs.twimg.com/media/FdkI5nMaEAExzPO.jpg', 'https://pbs.twimg.com/media/FdkI5nXaUAEDVzR.jpg']"
2022-Sep-25,2022,September,Sunday,12:15:59,,"Timur, Barat",lancar,12.15 wib lalin sp congdongcatur arah timur dan barat ramai arah selatan terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573904125875851264,"['https://pbs.twimg.com/media/FdehWoKaAAAr2fp.jpg', 'https://pbs.twimg.com/media/FdehWpkagAAtyIK.jpg']"
2022-Sep-25,2022,September,Sunday,12:15:03,Demangan,,ramai lancar,12.14 wib lalin sp demangan terpantau ramai lancar dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573903887060570112,"['https://pbs.twimg.com/media/FdehJciaEAAZDF8.jpg', 'https://pbs.twimg.com/media/FdehJeRaEAE8RLI.jpg', 'https://pbs.twimg.com/media/FdehKF9aIAEj2Ip.jpg']"
2022-Sep-25,2022,September,Sunday,12:13:52,Tugu,"Timur, Utara",ramai lancar,12.13 wib kondisi lalin sp tugu arah timur dan utara lancar arah barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573903590892371969,"['https://pbs.twimg.com/media/Fdeg4HOaMAAhErM.jpg', 'https://pbs.twimg.com/media/Fdeg45raUAIZ1YG.jpg', 'https://pbs.twimg.com/media/Fdeg46kaAAMpN8f.jpg']"
2022-Sep-25,2022,September,Sunday,12:13:03,UIN,"Timur, Barat",lancar,12.12 wib lalin sp uin arah timur dan barat terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573903385971294208,"['https://pbs.twimg.com/media/FdegttWakAA0v--.jpg', 'https://pbs.twimg.com/media/FdeguQaaAAED4os.jpg']"
2022-Sep-25,2022,September,Sunday,09:04:24,Condongcatur,,lancar,09.05 wib lalin sp condongcatur terpantau lancar dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573855910115811328,"['https://pbs.twimg.com/media/Fdd1hNRaAAI8T-w.jpg', 'https://pbs.twimg.com/media/Fdd1hN6acAAwINf.jpg', 'https://pbs.twimg.com/media/Fdd1h1FaIAE3skI.jpg']"
2022-Sep-25,2022,September,Sunday,09:03:38,UIN,"Timur, Barat",lancar,09.04 wib lalin sp uin arah timur dan barat terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573855718813609985,"['https://pbs.twimg.com/media/Fdd1XGKagAAR9h8.jpg', 'https://pbs.twimg.com/media/Fdd1XHHaEAE-O0s.jpg']"
2022-Sep-25,2022,September,Sunday,09:03:03,Maguwoharjo,Barat,lancar,09.03 wib kondisi lalin sp maguwo arah barat terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573855572310757376,['https://pbs.twimg.com/media/Fdd1O3WaUAMCRhL.jpg']
2022-Sep-25,2022,September,Sunday,09:02:34,Bandara,Timur,lancar,09.02 wib lalin sp bandara arah timur terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573855447890931713,['https://pbs.twimg.com/media/Fdd1FYlaIAACH1Z.jpg']
2022-Sep-25,2022,September,Sunday,07:26:16,Kentungan,,lancar,07.26 wib lalin sp kentungan terpantau lancar dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573831215052107776,"['https://pbs.twimg.com/media/FddfFi9agAABxoS.jpg', 'https://pbs.twimg.com/media/FddfFj1akAALcho.jpg', 'https://pbs.twimg.com/media/FddfFk4acAALY7c.jpg']"
2022-Sep-25,2022,September,Sunday,07:25:22,Condongcatur,,lancar,07.25 wib lalin sp condongcatur terpantau lancar dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573830989453066240,"['https://pbs.twimg.com/media/Fdde2OvaIAErCUX.jpg', 'https://pbs.twimg.com/media/Fdde2-1akAAlW25.jpg', 'https://pbs.twimg.com/media/Fdde3fhaMAA3Qe3.jpg']"
2022-Sep-25,2022,September,Sunday,07:24:17,Gramedia,,lancar,07.24 wib lalin sp gramedia terpantau lancar dari segal arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573830714357092352,"['https://pbs.twimg.com/media/Fddem_taEAIosSJ.jpg', 'https://pbs.twimg.com/media/FddenAUagAIlqQ5.jpg', 'https://pbs.twimg.com/media/Fdden4DaIAAZljO.jpg', 'https://pbs.twimg.com/media/Fdden4takAEkrHe.jpg']"
2022-Sep-25,2022,September,Sunday,07:23:04,Demangan,,lancar,07.23 wib lalin sp demangan masih terpantau lancar dari semua arah  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573830408730734592,"['https://pbs.twimg.com/media/FddeUhdakAAIWrS.jpg', 'https://pbs.twimg.com/media/FddeUiCaMAAze5L.jpg', 'https://pbs.twimg.com/media/FddeUioaMAAAp3k.jpg']"
2022-Sep-25,2022,September,Sunday,07:22:10,Maguwoharjo,Barat,lancar,07.22 wib kondisi lalin sp maguwo arah barat terpantau lancar.selalu berhati hati dalam berkendara dan patuhi rambu lalin  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573830183895060481,['https://pbs.twimg.com/media/FddeCT5aUAIGUhz.jpg']
2022-Sep-25,2022,September,Sunday,07:21:20,Bandara,Timur,lancar,07.21 wib lalin sp bandara arah timur terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573829974683160576,['https://pbs.twimg.com/media/Fddd7vsaEAEc65t.jpg']
2022-Sep-25,2022,September,Sunday,06:35:55,Jati Kencana,-,lancar,"06.35 WIB. Situasi lalin di Simpang Jati Kencana arus kendaraan saat ini terpantau lancar ,patuhi rambu lalu lintas dan marka jalan  ",-,https://twitter.com/ATCS_DISHUB_DIY/status/1573818543946477568,"['https://pbs.twimg.com/media/FddTnbNaAAE4kQe.jpg', 'https://pbs.twimg.com/media/FddTnb7acAA0IfE.jpg', 'https://pbs.twimg.com/media/FddTnckaUAAN1wA.jpg']"
2022-Sep-25,2022,September,Sunday,06:34:38,Kidsfun,-,lancar,"06.33 WIB. Situasi lalin di Simpang Kids Fun arus kendaraan saat ini terpantau lancar ,patuhi rambu lalu lintas dan marka jalan  ",-,https://twitter.com/ATCS_DISHUB_DIY/status/1573818219722579968,"['https://pbs.twimg.com/media/FddTTGsagAArXYM.jpg', 'https://pbs.twimg.com/media/FddTTGtakAA5UaA.jpg']"
2022-Sep-24,2022,September,Saturday,18:17:14,Tugu,Timur,ramai lancar,18.17 wib arus lalin sp tugu arah timur ramai arah barat dan utara terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573632645522919424,"['https://pbs.twimg.com/media/FdaqcKvakAAI1Ep.jpg', 'https://pbs.twimg.com/media/FdaqdBJagAAoJ8w.jpg', 'https://pbs.twimg.com/media/FdaqdB_aIAAj--z.jpg']"
2022-Sep-24,2022,September,Saturday,18:16:17,UIN,"Timur, Barat",ramai lancar,18.16 wib lalin sp uin arah timur dan barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573632409412997122,"['https://pbs.twimg.com/media/FdaqQzhaAAAUFcQ.jpg', 'https://pbs.twimg.com/media/FdaqRe3aIAAJB6K.jpg']"
2022-Sep-24,2022,September,Saturday,17:17:49,Pogung,-,lancar,17.17WIB Kondisi Lalin simpang Pogung terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573617693538013186,"['https://pbs.twimg.com/media/FdacyHfacAA4dE7.jpg', 'https://pbs.twimg.com/media/FdacyINaEAAze_m.jpg', 'https://pbs.twimg.com/media/FdacyJVagAIPhgM.jpg', 'https://pbs.twimg.com/media/FdacyJ6aMAEfLSb.jpg']"
2022-Sep-24,2022,September,Saturday,17:16:53,MM UGM Selatan Utara,-,ramai lancar,17.16WIB Kondisi lalin simpang MMUGM terpantau ramai lancar dari kaki utara dan selatan  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573617460695400450,"['https://pbs.twimg.com/media/FdacoE8aMAAY8dZ.jpg', 'https://pbs.twimg.com/media/FdacoFhaUAAr_Xj.jpg', 'https://pbs.twimg.com/media/FdacoGXakAAXtph.jpg', 'https://pbs.twimg.com/media/FdacoHCacAEfcg4.jpg']"
2022-Sep-24,2022,September,Saturday,17:16:13,Galeria,-,lancar,17.15WIB Kondisi lalin simpang Galeria lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573617292260544512,"['https://pbs.twimg.com/media/FdacdUKaMAAaGMC.jpg', 'https://pbs.twimg.com/media/FdacdUKaAAMqgzi.jpg']"
2022-Sep-24,2022,September,Saturday,15:15:34,Bandara,Timur,ramai lancar,15.15 wib lalin sp bandara arah timur terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573586929635184640,['https://pbs.twimg.com/media/FdaA55TacAAKOB9.jpg']
2022-Sep-24,2022,September,Saturday,15:14:57,Gramedia,Timur,ramai lancar,15.14 wib lalin sp gramedia arah timur ramai lancar arah barat terpantau ramai  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573586772860502016,"['https://pbs.twimg.com/media/FdaAv-OacAEZfig.jpg', 'https://pbs.twimg.com/media/FdaAv-2aAAAxObt.jpg']"
2022-Sep-24,2022,September,Saturday,07:26:14,Gramedia,-,lancar,07.25WIB Kondisi Lalin simpang Gramedia terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573468817577365504,"['https://pbs.twimg.com/media/FdYVfXZaMAEPA24.jpg', 'https://pbs.twimg.com/media/FdYVfYNaAAEGxvF.jpg', 'https://pbs.twimg.com/media/FdYVfY0aIAEv8sL.jpg', 'https://pbs.twimg.com/media/FdYVfZcaIAEVtm8.jpg']"
2022-Sep-24,2022,September,Saturday,07:25:52,MM UGM,-,lancar,07.25WIB Kondisi Lalin simpang MMUGM terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1573468726510649344,"['https://pbs.twimg.com/media/FdYVa1eacAAj-MG.jpg', 'https://pbs.twimg.com/media/FdYVa2PaIAA_hOY.jpg', 'https://pbs.twimg.com/media/FdYVa2yaAAAwJO9.jpg', 'https://pbs.twimg.com/media/FdYVa3faEAMULNR.jpg']"
