"location","title","desc","link","date"
"tugu","22 Tempat Wisata Kuliner di Jogja yang Terkenal Legendaris, Enak dan Murah","Liputan6.com, Jakarta Semua orang butuh makan, dan hampir semua orang suka 
makan. Karena itulah tempat wisata kuliner di Jogja akan terus ada,...","https://hot.liputan6.com/read/5109163/22-tempat-wisata-kuliner-di-jogja-yang-terkenal-legendaris-enak-dan-murah","bulan lalu"
"tugu","Rekomendasi Kuliner Jogja Dekat Tugu : Soto, Angkringan, Gudeg Sampai Gulai","Jika kamu ingin makan enak tapi tetap hemat? Berikut adalah rekomendasi 
kuliner dekat Tugu Jogja enak yang bikin kamu hemat.","https://jogja.tribunnews.com/2022/10/10/rekomendasi-kuliner-jogja-dekat-tugu-soto-angkringan-gudeg-sampai-gulai","bulan lalu"
"tugu","Hotel di Jogja Tawarkan Kuliner Rijsttafel - kumparan.com","Rijsttafel merupakan konsep penyajian makanan Indonesia dengan gaya Eropa. 
#publisherstory #tugujogja.","https://kumparan.com/tugujogja/hotel-di-jogja-tawarkan-kuliner-rijsttafel-1z0MjC3EyrC","bulan lalu"
"tugu","10 Kuliner Malam dekat Tugu Jogja, Ada Soto sampai Bakmi","Bicara soal tempat makan malam di Jogja yang enak, pasti gak perlu bingung 
karena pilihannya luar biasa banyak. Termasuk kuliner malam dekat Tugu 
Jogja yang...","https://jogja.idntimes.com/food/dining-guide/dyar-ayu/kuliner-malam-dekat-tugu-jogja-c1c2","bulan lalu"
"tugu","Beatlesmania Hebohkan Area Kuliner Lor Tugu Jogja","Jogja Beatles Community (JBC), rayakan ulang tahun ke 20 di area Kuliner 
Lor Tugu.","https://jatim.poskota.co.id/2022/10/02/beatlesmania-hebohkan-area-kuliner-lor-tugu-jogja","bulan lalu"
"tugu","Bakpia Kukus Tugu Jogja Laris Diburu Wisatawan - VIVA","Bakpia menjadi salah satu ikon makanan atau oleh-oleh khas Yogyakarta. 
Berbagai inovasi bakpia terus dikembangkan untuk mendukung pariwisata di 
Yogyakarta.","https://www.viva.co.id/gaya-hidup/kuliner/1525048-bakpia-kukus-tugu-jogja-laris-diburu-wisatawan","5 Sep 2022"
"tugu","Kuliner Jogja: Tiga Spot Kuliner Jogja untuk Makan Malam","Untuk menambah kesan romantis, kuliner juga dapat dilakukan saat malam 
hari, nah inilah 3 spot Kuliner Jogja, makan malam legendaris dan murah.","https://jogja.tribunnews.com/2022/09/10/kuliner-jogja-tiga-spot-kuliner-jogja-untuk-makan-malam","10 Sep 2022"
"tugu","20 Kuliner Jogja Favorit Wisatawan, Kamu Sudah Coba Belum?","Kami telah merangkum 20 Kuliner Jogja yang disukai wisatawan yang dapat 
Anda coba salah satunya.","https://jogja.tribunnews.com/2022/09/10/20-kuliner-jogja-favorit-wisatawan-kamu-sudah-coba-belum","10 Sep 2022"
"tugu","3 Kuliner di Seputaran Tugu Pal Putih Ikon Kota Jogja Istimewa","Belum lengkap ke Jogja apabila belum datang ke Tugu, coba 3 Kuliner Jogja 
di sekitar Tugu yang enak dan bikin nagih ini!","https://jogja.tribunnews.com/2022/09/06/3-kuliner-di-seputaran-tugu-pal-putih-ikon-kota-jogja-istimewa","Sep 2022"
"tugu","Rekomendasi 5 Kuliner Jogja Bercita rasa Luar Negeri yang Ada Di Pasar Kranggan","berbeda dengan Kuliner Jogja di pasar kranggan yang didalamnya bukan 
menyajikan makanan tradisional lagi namun juga menyajikan sebuah makanan 
western.","https://jogja.tribunnews.com/2022/09/02/rekomendasi-5-kuliner-jogja-bercita-rasa-luar-negeri-yang-ada-di-pasar-kranggan","Sep 2022"
"tugu","Kuliner di Seputaran Tugu Pal Jogja yang Perlu Kamu Tahu","Kuliner Jogja yang identik dengan kota pelajar ini akan semakin khas Jogja 
banget apabila sambil melihat pemandangan Tugu Putih.","https://jogja.tribunnews.com/2022/08/26/kuliner-di-seputaran-tugu-pal-jogja-yang-perlu-kamu-tahu","6 Agu 2022"
"tugu","12 Wisata Malam Kuliner Jogja yang Lezat dan Sayang untuk Kamu Lewatkan","Berikut ini rekomendasi beberapa tempat wisata malam kuliner Jogja yang 
lezat dan wajib kamu kunjungi bila berlibur ke kota Jogja.","https://hot.liputan6.com/read/5048334/12-wisata-malam-kuliner-jogja-yang-lezat-dan-sayang-untuk-kamu-lewatkan","2 Agu 2022"
"tugu","Menjelajahi Kuliner Nusantara Bersama Phmhotels, Wisata Gastronomi – Festival Mi Nusantara - Harianjogja.com","Harianjogja.com, JOGJA — THE 1O1 Yogyakarta Tugu kembali menghadirkan 
sajian kuliner nusantara dalam olahan mi. Mempersembahkan dua menu andalan 
yaitu Mi...","https://jogjapolitan.harianjogja.com/read/2022/08/18/510/1109232/menjelajahi-kuliner-nusantara-bersama-phmhotels-wisata-gastronomi-festival-mi-nusantara","8 Agu 2022"
"tugu","Rekomendasi Makanan Khas Jogja yang Bisa Kamu Jadikan Sebagai Oleh-oleh","TRIBUNJOGJA.COM - Kuliner Jogja sangat beragam. Oleh karenanya, bagi Kamu 
yang ingin membawa buah tangan dari Kota Gudeg ini tak perlu khawatir!","https://jogja.tribunnews.com/2022/07/31/rekomendasi-makanan-khas-jogja-yang-bisa-kamu-jadikan-sebagai-oleh-oleh","1 Jul 2022"
"tugu","5 Referensi Kuliner Malam di Yogyakarta Ini Bisa Jadi Pengganjal Lapar Dini Hari","Liputan6.com, Yogyakarta - Yogyakarta memiliki ragam pilihan kuliner yang 
variatif. Tak hanya menu sarapannya, ternyata Yogyakarta juga memiliki 
kuliner...","https://www.liputan6.com/regional/read/5024184/5-referensi-kuliner-malam-di-yogyakarta-ini-bisa-jadi-pengganjal-lapar-dini-hari","7 Jul 2022"
"tugu","Rekomendasi 3 Kuliner Asik di Sekitaran Pasar Kranggan Jogja untuk Malam Mingguan Bareng Ayang!","Rekomendasi Kuliner Asik di Pasar Kranggan Jogja bisa menjadi referensi 
bagimu untuk menghabiskan waktu malam minggu bersama pasangan atau temanmu.","https://jogja.tribunnews.com/2022/07/23/rekomendasi-3-kuliner-asik-di-sekitaran-pasar-kranggan-jogja-untuk-malam-mingguan-bareng-ayang","3 Jul 2022"
"tugu","Catat! Ini Kuliner Khas Yogyakarta yang Wajib Kalian Beli, Siap?","Berwisata ke suatu daerah tidak akan lengkap jika tidak membawa oleh-oleh. 
Setiap daerah memiliki kuliner khas yang berbeda, termasuk Yogyakarta.","https://www.sonora.id/read/423333391/catat-ini-kuliner-khas-yogyakarta-yang-wajib-kalian-beli-siap","7 Jun 2022"
"tugu","KULINER Jajanan Tradisional Legendaris di Sekitar Tugu Jogja: Ada Gatot, Tiwul, Cenil, Lupis","TRIBUNJOGJA.COM, YOGYA - Makanan tradisional kini tidak kalah enaknya 
dengan makanan di berbagai restoran ternama. Seperti halnya jajanan 
legendaris milik...","https://jogja.tribunnews.com/2022/06/07/kuliner-jajanan-tradisional-legendaris-di-sekitar-tugu-jogja-ada-gatot-tiwul-cenil-lupis","Jun 2022"
"tugu","Legendaris, 6 Rekomendasi Kuliner Jogja Yang Paling Diburu","Nikmati berbagai jenis masakan khas Jogja di rekomendasi kuliner Jogja 
legendaris yang paling diburu oleh para wisatawan mancanegara.","https://www.herworld.co.id/article/2022/5/22883-Legendaris-6-Rekomendasi-Kuliner-Jogja-Yang-Paling-Diburu","4 Mei 2022"
"tugu","6 Tempat Beli Oleh-oleh di Dekat Stasiun Tugu Yogyakarta - Kompas.com","KOMPAS.com - Tak lengkap rasanya bila belum mengantongi oleh-oleh usai 
berlibur ke Yogyakarta. Aneka makanan, khususnya bakpia, biasanya paling 
dicari saat...","https://www.kompas.com/food/read/2022/05/15/190600775/6-tempat-beli-oleh-oleh-di-dekat-stasiun-tugu-yogyakarta?page=all","5 Mei 2022"
"tugu","Liburan Lebaran di Yogyakarta Jangan Sampai Kena Getok Harga, Ini Tipsnya","Para wisatawan yang hendak berburu kuliner di kawasan objek wisata harus 
memastikan adanya daftar menu.","https://www.liputan6.com/regional/read/4955369/liburan-lebaran-di-yogyakarta-jangan-sampai-kena-getok-harga-ini-tipsnya","Mei 2022"
"tugu","11 REKOMENDASI Oleh-oleh Khas Jogja Selain Bakpia, Pesan Dulu Sebelum Kehabisan!","Tribunjogja.com memberikan rekomendasi buah tangan khas Yogyakarta selain 
bakpia. Ternyata, ragam oleh-olehnya ada banyak.","https://jogja.tribunnews.com/2022/05/05/11-rekomendasi-oleh-oleh-khas-jogja-selain-bakpia-pesan-dulu-sebelum-kehabisan","Mei 2022"
"tugu","30 Tempat Wisata Kuliner Jogja Yang Wajib Kalian Coba! - Kabar Joglo Semar","Wisata kuliner di Jogja memiliki banyak pilihan, dari mulai mie ayam 
tumini, gudeg, mangut lele, lumpia, sate, dan bakmi jawa.","https://kabarjoglosemar.pikiran-rakyat.com/wisata/pr-734390449/30-tempat-wisata-kuliner-jogja-yang-wajib-kalian-coba","Mei 2022"
"tugu","Aneh, Ada Tugu Yogya di Pegunungan Menoreh? Pecinta Kuliner Ndeso Ngumpul di Sini!","INDOZONE.ID - Kota Yogyakarta enggak pernah gagal menghipnotis para pecinta 
wisata alam dan kuliner. Banyak kuliner Yogyakarta yang lezat dan tersaji 
di...","https://www.indozone.id/food/9Ds6oEx/tugu-yogya-pindah-ke-pegunungan-menoreh-pecinta-kuliner-ndeso-ngumpul-di-sini","Apr 2022"
"tugu","Mencari Kuliner Enak Sekitar Stasiun Tugu Yogyakarta untuk Menu Sarapan, Ini Rekomendasinya","Jika kamu berhenti di Stasiun Tugu Yogyakarta, tidak ada salahnya mampir 
dulu untuk sarapan. Ada sejumlah kuliner enak sekitar Stasiun Tugu 
Yogyakarta yang...","https://kaltim.tribunnews.com/2022/03/11/mencari-kuliner-enak-sekitar-stasiun-tugu-yogyakarta-untuk-menu-sarapan-ini-rekomendasinya","1 Mar 2022"
"tugu","5 Kuliner Enak Sekitar Stasiun Tugu Yogyakarta untuk Sarapan, Kuah Soto Sampah Kental dan Gurih","Dirangkum TribunTravel dari berbagai sumber, berikut deretan kuliner enak 
sekitar Stasiun Tugu Yogyakarta.","https://travel.tribunnews.com/2022/03/11/5-kuliner-enak-sekitar-stasiun-tugu-yogyakarta-untuk-sarapan-kuah-soto-sampah-kental-dan-gurih","1 Mar 2022"
"tugu","Bercita Rasa Eropa, 5 Kuliner di Yogyakarta Perlu Anda Coba","Tugumalang.id – Yogyakarta tidak hanya memanjakan wisatawan dengan 
keindahan alamnya, tetapi juga dengan aneka makam kuliner baik yang khas 
daerah tersebut...","https://tugumalang.id/bercita-rasa-eropa-5-kuliner-di-yogyakarta-perlu-anda-coba/","4 Feb 2022"
"tugu","Mugorame yang Nyata Ramenya, Kuliner Pasar Kranggan Yogyakarta Viral di Tiktok","Menggabungkan dua rasa dalam satu makanan, mengapa tidak? Mungkin ungkapan 
itu cukup menggambarkan isi kepala Bagus, salah satu pemilik Depot Makan 
Mugorame...","https://yoursay.suara.com/ulasan/2022/02/02/163224/mugorame-yang-nyata-ramenya-kuliner-pasar-kranggan-yogyakarta-viral-di-tiktok","Feb 2022"
"tugu","15 Rekomendasi Angkringan di Yogyakarta, Kuliner Malam Murah-meriah - Kompas.com","Berikut 15 angkringan di Yogyakarta yang bisa dikunjungi untuk wisata 
kuliner. Cocok untuk akhir bulan karena harganya terjangkau. Halaman all.","https://www.kompas.com/food/read/2022/01/21/220900075/15-rekomendasi-angkringan-di-yogyakarta-kuliner-malam-murah-meriah?page=all","1 Jan 2022"
"tugu","6 Pusat Oleh-oleh di Yogyakarta, Bukan Cuma Bakpia Pathok 25 - Kompas.com","Di Yogyakarta terdapat banyak toko oleh-oleh yang dapat kamu kunjungi usai 
berkeliling wisata. Halaman all.","https://www.kompas.com/food/read/2021/12/26/171833075/6-pusat-oleh-oleh-di-yogyakarta-bukan-cuma-bakpia-pathok-25?page=all","6 Des 2021"
"tugu","Wajib Coba, Ini 5 Rekomendasi Kuliner Legendaris Jogja","Jakarta, CNBC Indonesia - Yogyakarta tidak hanya menawarkan tempat wisata 
yang indah saja. Kota pelajar itu juga memiliki banyak makanan legendaris 
yang...","https://www.cnbcindonesia.com/lifestyle/20211224161647-33-301860/wajib-coba-ini-5-rekomendasi-kuliner-legendaris-jogja","4 Des 2021"
"tugu","Kawasan kuliner Tugu Gempa dipercantik","Pemerintah Kota Padang mempercantik kawasan kuliner Tugu Gempa yang berada 
di Jalan Khairil Anwar sehingga bisa menjadi salah satu lokasi tujuan 
kuliner dan...","https://jogja.antaranews.com/berita/529025/kawasan-kuliner-tugu-gempa-dipercantik","1 Des 2021"
"tugu","15 Tempat Makan Sekitar Tugu Jogja, dari Sarapan hingga Makan Malam - Kompas.com","Ada banyak tempat makan dekat Tugu Jogja yang bisa dikunjungi untuk sarapan 
ataupun makan malam. Berikut uraiannya. Halaman all.","https://www.kompas.com/food/read/2021/12/18/111100375/15-tempat-makan-sekitar-tugu-jogja-dari-sarapan-hingga-makan-malam?page=all","8 Des 2021"
"tugu","Intip Cerita Perjalanan Panjang Bakpia Kukus Khas Jogja Bisa Jadi Buah Tangan Favorit","Liputan6.com, Jakarta Yogyakarta merupakan destinasi wisata favorit 
wisatawan. Tak hanya kota yang sarat budaya, kulinernya pun menjadi 
primadona.","https://id.berita.yahoo.com/intip-cerita-perjalanan-panjang-bakpia-090049908.html","5 Nov 2021"
"tugu","Sempat Terguncang Pandemi, Bisnis Bakpia Kukus Tugu Jogja Bangkit - GenPI.co","Sama seperti bisnis lainnya, usaha Bakpia Kukus Tugu Jogja juga sempat 
terguncang akibat pandemi Covid-19. Simak kisah selengkapnya di sini. - 
GenPI.co.","https://www.genpi.co/ekonomi/150382/sempat-terguncang-pandemi-bisnis-bakpia-kukus-tugu-jogja-bangkit","5 Nov 2021"
"tugu","Perjalanan Bakpia Kukus Tugu Jogja, Rajai Oleh-Oleh Bakpia Kukus Favorit Yogyakarta","Berbeda dengan bakpia pada umumnya yang dibuat dengan proses dipanggang, 
Bakpia Kukus Tugu Jogja berhasil menghadirkan bakpia dengan cara dikukus.","https://jateng.tribunnews.com/2021/11/24/perjalanan-bakpia-kukus-tugu-jogja-rajai-oleh-oleh-bakpia-kukus-favorit-yogyakarta","4 Nov 2021"
"tugu","15 Oleh-oleh Khas Yogyakarta, Tidak Hanya Bakpia - Kompas.com","KOMPAS.com - Berwisata ke suatu daerah tak lengkap jika tidak membawa 
oleh-oleh. Pasalnya, masing-masing daerah memiliki kuliner khas yang 
berbeda,...","https://www.kompas.com/food/read/2021/11/13/170200175/15-oleh-oleh-khas-yogyakarta-tidak-hanya-bakpia?page=all","3 Nov 2021"
